/data/ccms-data/uploads//MSV000078892/ccms_peak/Cyanobacterial_Collection_Plate31/mzXML plate 31/A2130_031H7_I_RH7_01_18841.mzXML	760	1138	5962	Dolastatin_10_Dolastatin_10	8	3.6e-13	784.492	393.262	184.774	M+2H	2
/data/ccms-data/uploads//MSV000078892/ccms_peak/Cyanobacterial_Collection_Plate31/mzXML plate 31/A2130_031H7_I_RH7_01_18841.mzXML	751	1128	5962	Dolastatin_10_Dolastatin_10	7	2.4e-09	784.492	393.262	183.461	M+2H	2
/data/ccms-data/uploads//MSV000078892/ccms_peak/Cyanobacterial_Collection_Plate31/mzXML plate 31/A2049_031B5_CRUDE_RB5_01_18765.mzXML	704	1107	5962	Dolastatin_10_Dolastatin_10	8	5.7e-11	784.492	393.253	179.621	M+2H	2
/data/ccms-data/uploads//MSV000078892/ccms_peak/Cyanobacterial_Collection_Plate31/mzXML plate 31/A2049_031B5_CRUDE_RB5_01_18765.mzXML	712	1116	5962	Dolastatin_10_Dolastatin_10	7	1.2e-10	784.492	393.253	180.814	M+2H	2
/data/ccms-data/uploads//MSV000078892/ccms_peak/Cyanobacterial_Collection_Plate31/mzXML plate 31/A2049_031B5_CRUDE_RB5_01_18765.mzXML	742	1149	5962	Dolastatin_10_Dolastatin_10	7	1.4e-09	784.492	393.255	185.041	M+2H	2
/data/ccms-data/uploads//MSV000078892/ccms_peak/Cyanobacterial_Collection_Plate31/mzXML plate 31/A2055_031D7_G_RD7_01_18792.mzXML	1672	2139	525	Precarriebowmide_S-Oxide	18	7.8e-21	880.477	881.49	312.613	M+H	1
/data/ccms-data/uploads//MSV000078892/ccms_peak/Cyanobacterial_Collection_Plate31/mzXML plate 31/A2055_031D7_G_RD7_01_18792.mzXML	1661	2127	525	Precarriebowmide_S-Oxide	13	1.7e-16	880.477	881.491	311.1	M+H	1
/data/ccms-data/uploads//MSV000078892/ccms_peak/Cyanobacterial_Collection_Plate31/mzXML plate 31/A2055_031D7_G_RD7_01_18792.mzXML	1662	2128	525	Precarriebowmide_S-Oxide	11	1.8e-13	880.477	441.249	311.205	M+2H	2
/data/ccms-data/uploads//MSV000078892/ccms_peak/Cyanobacterial_Collection_Plate31/mzXML plate 31/A2055_031C11_CRUDE_RC11_01_18785.mzXML	1691	2208	525	Precarriebowmide_S-Oxide	8	2.5e-10	880.477	441.249	321.925	M+2H	2
/data/ccms-data/uploads//MSV000078892/ccms_peak/Cyanobacterial_Collection_Plate31/mzXML plate 31/A2055_031D9_I_RD9_01_18794.mzXML	1687	2173	525	Precarriebowmide_S-Oxide	18	1.3e-18	880.477	881.491	317.092	M+H	1
/data/ccms-data/uploads//MSV000078892/ccms_peak/Cyanobacterial_Collection_Plate31/mzXML plate 31/A2055_031D9_I_RD9_01_18794.mzXML	1679	2164	525	Precarriebowmide_S-Oxide	12	1.8e-15	880.477	881.492	315.894	M+H	1
/data/ccms-data/uploads//MSV000078892/ccms_peak/Cyanobacterial_Collection_Plate31/mzXML plate 31/A2055_031D9_I_RD9_01_18794.mzXML	1639	2120	525	Precarriebowmide_S-Oxide	10	4.7e-13	880.477	881.493	310.212	M+H	1
/data/ccms-data/uploads//MSV000078892/ccms_peak/Cyanobacterial_Collection_Plate31/mzXML plate 31/A2055_031D9_I_RD9_01_18794.mzXML	1695	2182	525	Precarriebowmide_S-Oxide	12	1.0e-11	880.477	441.25	318.312	M+2H	2
/data/ccms-data/uploads//MSV000078892/ccms_peak/Cyanobacterial_Collection_Plate31/mzXML plate 31/A2055_031D9_I_RD9_01_18794.mzXML	1691	2177	525	Precarriebowmide_S-Oxide	9	7.1e-11	880.477	441.249	317.513	M+2H	2
/data/ccms-data/uploads//MSV000078892/ccms_peak/Cyanobacterial_Collection_Plate31/mzXML plate 31/A2049_031B10_F_RB10_01_18770.mzXML	2424	3016	7749	Veraguamide_E_Veraguamide_E	7	1.3e-10	716.472	717.481	424.364	M+H	1
/data/ccms-data/uploads//MSV000078892/ccms_peak/Cyanobacterial_Collection_Plate31/mzXML plate 31/A2049_031B10_F_RB10_01_18770.mzXML	760	1165	5306	Dolastatin_10_Homologue_(R_=_CH3)	7	8.1e-10	798.508	400.263	186.673	M+2H	2
/data/ccms-data/uploads//MSV000078892/ccms_peak/Cyanobacterial_Collection_Plate31/mzXML plate 31/A2130_031H8_CRUDE_RH8_01_18834.mzXML	678	1051	5962	Dolastatin_10_Dolastatin_10	7	2.4e-10	784.492	393.264	173.518	M+2H	2
/data/ccms-data/uploads//MSV000078892/ccms_peak/Cyanobacterial_Collection_Plate31/mzXML plate 31/A2050_031C10_I_RC10_01_18783.mzXML	2320	2920	5091	Viequeamide_B_Viequeamide_B	7	2.5e-10	807.478	808.486	412.765	M+H	1
/data/ccms-data/uploads//MSV000078892/ccms_peak/Cyanobacterial_Collection_Plate31/mzXML plate 31/A2061_031F9_B_RF9_01_18818.mzXML	1720	2402	2925	Majusculamide_C_Majusculamide_C	12	6.2e-17	984.59	985.61	347.629	M+H	1
/data/ccms-data/uploads//MSV000078892/ccms_peak/Cyanobacterial_Collection_Plate31/mzXML plate 31/A2061_031F9_B_RF9_01_18818.mzXML	1728	2411	2925	Majusculamide_C_Majusculamide_C	8	3.3e-10	984.59	985.611	348.833	M+H	1
/data/ccms-data/uploads//MSV000078892/ccms_peak/Cyanobacterial_Collection_Plate31/mzXML plate 31/A2027_031A4_D_RA4_01_18751.mzXML	2240	2772	7688	Veraguamide_D_Veraguamide_D	12	5.2e-16	702.457	703.464	395.154	M+H	1
/data/ccms-data/uploads//MSV000078892/ccms_peak/Cyanobacterial_Collection_Plate31/mzXML plate 31/A2027_031A4_D_RA4_01_18751.mzXML	2088	2605	7313	Dolastatin_16_Homologue_(R_=_-CH2CH3)	11	2.3e-12	892.531	893.54	373.653	M+H	1
/data/ccms-data/uploads//MSV000078892/ccms_peak/Cyanobacterial_Collection_Plate31/mzXML plate 31/A2027_031A4_D_RA4_01_18751.mzXML	2081	2597	7313	Dolastatin_16_Homologue_(R_=_-CH2CH3)	12	2.5e-12	892.531	447.273	372.54	M+2H	2
/data/ccms-data/uploads//MSV000078892/ccms_peak/Cyanobacterial_Collection_Plate31/mzXML plate 31/A2027_031A4_D_RA4_01_18751.mzXML	774	1153	5962	Dolastatin_10_Dolastatin_10	7	3.4e-12	784.492	393.255	186.366	M+2H	2
